cluster 0 gene,cluster 0 score,cluster 1 gene,cluster 1 score,cluster 2 gene,cluster 2 score,cluster 3 gene,cluster 3 score,cluster 4 gene,cluster 4 score,cluster 5 gene,cluster 5 score,cluster 6 gene,cluster 6 score,cluster 7 gene,cluster 7 score,cluster 8 gene,cluster 8 score,cluster 9 gene,cluster 9 score,cluster 10 gene,cluster 10 score,cluster 11 gene,cluster 11 score
Slc35g2,2.3476346,Dusp3,-1.3066926,Il33,-1.0399646,Fkbpl,0.78742486,Tlcd1,3.0477436,Cables1,-1.705798,Apitd1,0.5307654,Gsto2,0.0854719,Dbx2,-0.16306673,Slc38a5,0.8492957,Klf8,-0.6323913,Gm12790,-0.017559865
Lin37,2.3447032,A430106G13Rik,-1.3068717,Gsto2,-1.0400435,Med31,0.7873988,Tpmt,3.043984,Ebf2,-1.7063972,Gm14443,0.5302958,Zbtb26,0.08518866,Uspl1,-0.16318642,Adam17,0.8491319,Ovca2,-0.6325051,Gm5117,-0.017559865
Agpat3,2.344616,Rbakdn,-1.3069999,Usp12,-1.0401819,Nphp4,0.78733724,Wdr37,3.0409067,Lrrc73,-1.7078581,Gm12996,0.5296509,Sox6,0.08499494,Gnrh1,-0.1635692,Phtf1,0.84860915,Muc1,-0.6327243,Gm26916,-0.017559865
Galnt12,2.3410537,Agbl5,-1.3073112,Coq10a,-1.0402418,Creb5,0.7872319,Polr2d,3.0395677,Usp29,-1.7083789,Syne3,0.5295908,Gm26826,0.08480519,Rimkla,-0.16372862,Clec16a,0.84859395,Tex15,-0.6334564,Stmnd1,-0.017559865
Ctdp1,2.3399143,Cryba4,-1.3078372,Zfp960,-1.040398,Smyd4,0.78708225,Angpt4,3.0384765,Tpm3-rs7,-1.7085612,Ccnyl1,0.5290781,Dynlt1b,0.08477469,Synpo2l,-0.16395485,Cdadc1,0.84856564,BC021614,-0.6335543,Ctsq,-0.017781096
Aplf,2.3385446,Drg1,-1.3092238,Fpgt,-1.0404633,Gm15406,0.7858469,Pvt1,3.0380378,Atp10a,-1.7104024,Lpcat4,0.5290625,Gm37170,0.0846198,Sema6a,-0.1639942,A430073D23Rik,0.8482807,Hc,-0.63358086,Fabp2,-0.017867934
2610020C07Rik,2.3372045,Intu,-1.3097631,Xkr8,-1.0411683,C230035I16Rik,0.78576314,Fancg,3.0371726,Dennd4b,-1.7111183,Rab3il1,0.5279402,Gm44036,0.08458533,B930094E09Rik,-0.16415568,Ccnjl,0.8482607,Kazn,-0.6336075,Atf7,-0.017867934
Tmem171,2.3349528,Lyst,-1.3099636,Cmtr2,-1.0420697,Men1,0.78383434,B3galt4,3.033538,Rassf2,-1.7121183,Ak8,0.5276985,B430219N15Rik,0.084445894,Igfbpl1,-0.1641819,Ppp1r3fos,0.8481879,Adcy2,-0.63388735,Fgg,-0.017867934
Exoc7,2.3322132,Gm26520,-1.3105166,Psma8,-1.0420728,A730056A06Rik,0.7836205,Rfxap,3.0329483,Rhox2a,-1.7122144,Gm42722,0.5276354,Gm8394,0.08435557,D430041D05Rik,-0.16442084,Acvr2a,0.8473686,Tnni2,-0.6340257,Sox18,-0.017867934
Gm26670,2.331292,Pde3b,-1.3114477,Arhgap30,-1.0425725,2310001H17Rik,0.7834826,Kcnj4,3.0325928,Arhgef26,-1.71239,Gimap9,0.5272452,Krt79,0.08427714,Gm26869,-0.16442452,Zfp438,0.8470876,Mamdc2,-0.63418317,Fam179a,-0.017867934
