cluster 0 gene,cluster 0 score,cluster 1 gene,cluster 1 score,cluster 2 gene,cluster 2 score,cluster 3 gene,cluster 3 score,cluster 4 gene,cluster 4 score,cluster 5 gene,cluster 5 score,cluster 6 gene,cluster 6 score,cluster 7 gene,cluster 7 score,cluster 8 gene,cluster 8 score,cluster 9 gene,cluster 9 score,cluster 10 gene,cluster 10 score,cluster 11 gene,cluster 11 score
Hip1r,16.052574,Prkcg,0.24776393,Gm7676,0.36797065,Hoxb5os,17.090818,Ptpn9,18.885452,Pax5,-0.06935113,Cacul1,14.79477,Zfp60,7.978269,Dcbld1,8.174208,Slc9b1,16.733122,Gm11579,-0.031317685,Ept1,2.0785563
Alcam,16.037283,Gm15834,0.24769655,Rab42,0.36784396,Naga,17.088844,Lmf2,18.87058,Gm13563,-0.069351844,Thoc2,14.782265,Slc38a1,7.974074,B930036N10Rik,8.168061,Eri1,16.732822,Opalin,-0.031317685,Copb2,2.0766833
Bcl2l12,16.03525,Setd1a,0.24717529,Kctd4,0.366078,Slc6a8,17.080389,Ctps,18.864471,Zfp385b,-0.06957149,Ptp4a2,14.774135,Polb,7.967252,Eif2d,8.16283,Ncor1,16.722263,Tex22,-0.031317685,Slc38a9,2.0752256
Prrc2a,16.01956,Gm807,0.24564146,Ifi203,0.3644893,Tigd2,17.07785,Alg14,18.86032,BC049715,-0.07025428,Jmjd1c,14.773937,Gtf3c6,7.9627004,Gnptab,8.162086,Lonp1,16.714842,Mc2r,-0.031317685,Tnnt1,2.0725129
Gm8186,16.015646,Cyp4b1,0.24460705,Gdf5,0.36296135,Tmem14c,17.076483,Snapc5,18.856295,Gm16104,-0.0703326,Fkbp2,14.758643,Cryz,7.960619,Deptor,8.160468,Tmem256,16.710693,Saa4,-0.031317685,Rgs4,2.0722132
Bach2,16.000042,Nab1,0.24375428,Hoxaas3,0.36162174,Cacna1c,17.063177,Ube2d2a,18.842062,Kcnk4,-0.07054335,Man1b1,14.753846,Nell2,7.9605837,Mtg2,8.160016,Casc5,16.702888,AW495222,-0.031317685,Smim12,2.0673916
Lsm10,15.996063,Svop,0.2427665,Trem2,0.3527513,Zfp36,17.060383,Gpat4,18.831818,Gm44096,-0.07054406,Psmd2,14.752491,Cygb,7.943413,Smarca4,8.157725,Zscan10,16.70219,Spem1,-0.031317685,Shoc2,2.0669677
Ufc1,15.986105,AI646519,0.24129304,Lcat,0.35271326,Man2b2,17.057343,Ammecr1l,18.83086,Gm13283,-0.07126815,Clk3,14.750064,2510046G10Rik,7.9391866,Cdc42ep5,8.155641,Aimp1,16.702131,Gm37988,-0.031317685,0610009O20Rik,2.066732
Psen1,15.98014,Tmem117,0.24007939,Orai2,0.3498338,Nr2f2,17.036108,Adcy6,18.828142,Gm16160,-0.07127028,4732419C18Rik,14.74844,Dnmt1,7.9387507,Clic3,8.143028,Zfp518a,16.698565,Plppr3,-0.031317685,Strap,2.0666535
Pdap1,15.965653,Adarb1,0.23979263,N4bp2l1,0.34745198,Acadvl,17.036049,Aff4,18.826729,Gm16286,-0.071270995,Dusp16,14.747862,Usp18,7.9357605,Slc25a37,8.134215,Cnot10,16.68355,9430097D07Rik,-0.031317685,Ggcx,2.0665956
Rpl24,15.9615,Calca,0.23936248,Pde4b,0.3445123,Mgmt,17.026146,Rps27l,18.817257,A930024N18Rik,-0.07127313,Aars,14.739652,Zfp113,7.9244256,Zc3hc1,8.132463,Ppp2r2a,16.674114,Gm17224,-0.031317685,Mrps36,2.0658264
Gar1,15.950781,Egfl6,0.23743892,Nisch,0.3431906,Nxf1,17.022863,Eci1,18.817156,1700064M15Rik,-0.07127669,Cops5,14.736362,Zfp606,7.9238687,Fopnl,8.13124,Exosc3,16.671587,Ctss,-0.031317685,Dhrs1,2.065322
Tspan13,15.949939,Eid2,0.23681551,Ccdc82,0.34157947,Fundc2,17.007069,Twist1,18.803026,Gm9968,-0.071283095,Papd4,14.733073,Cdc25a,7.9157085,Txn1,8.099972,Ccdc25,16.662727,2010109I03Rik,-0.031317685,Asxl2,2.0641952
Cnpy2,15.945015,Htatip2,0.2362347,Prl4a1,0.34129968,Prelid2,16.992683,Msl3,18.791052,Tarsl2,-0.07148815,Dguok,14.72973,Taf1d,7.909335,Cluh,8.087926,Thumpd3,16.65743,Gsta2,-0.031317685,Sec23ip,2.0630517
Eif3j1,15.942422,Gm14396,0.2339489,Zfp827,0.34043786,Anxa7,16.987394,Ctbp1,18.790722,Gm12666,-0.07149456,Pom121,14.728566,Gm19426,7.899267,Pinx1,8.082795,Agfg1,16.65299,Cyp4b1,-0.031317685,Map2k5,2.0614927
Thap11,15.942193,Gm10687,0.23345461,Edar,0.34037906,Zfp292,16.954327,Trim7,18.787012,B430305J03Rik,-0.07150523,Bnip2,14.71112,Gins1,7.883294,Sart3,8.080136,Zranb2,16.650724,A230083G16Rik,-0.031317685,Zfp330,2.0614762
Rhbdf2,15.940199,Qars,0.23279268,Ptchd1,0.33711556,Dlc1,16.938787,Itgb4,18.77565,Gm12514,-0.071746245,Chd7,14.702192,Ndufab1,7.87074,Rce1,8.07613,Trim37,16.630552,Ndst4,-0.031317685,Lonp1,2.0606492
Pop5,15.93567,Nsmce1,0.23057748,Ccdc88a,0.3327275,Timm10b,16.93646,Morf4l1,18.759998,Gm10714,-0.071746245,Tcta,14.692172,Sord,7.870214,Cep295,8.066317,Ppp1r1a,16.628235,Gm29707,-0.031317685,Slc30a9,2.0586104
Ccnl2,15.926516,Rnf183,0.23028614,Smad6,0.32898706,Nckap1,16.916965,Eif4g3,18.758944,RP24-185P7.1,-0.07198084,Cdh1,14.683116,Rif1,7.8578577,Usp7,8.055214,Rnf115,16.587353,Scgb1a1,-0.031317685,Gde1,2.0568118
Rab27b,15.919921,Lect1,0.22995733,Wif1,0.32818094,Casc4,16.909838,Tor1b,18.747921,Ccdc177,-0.07244506,Rasa1,14.682948,Apip,7.857252,Lrrc47,8.055,Nek2,16.585434,Ptafr,-0.031317685,Clptm1,2.0554905
Rpl23a,15.91221,Asgr1,0.22929135,Olfr1315-ps1,0.32799146,1110008F13Rik,16.900158,Ell2,18.747528,AB124611,-0.07247923,Diaph1,14.666793,Dnaaf2,7.8566,Max,8.05489,Git1,16.585194,Gm27234,-0.031317685,Mga,2.0538592
Npnt,15.911261,Fam196a,0.22905794,Arsi,0.32736227,Ergic3,16.887037,Eef2k,18.746588,Iqub,-0.07247994,Slc29a1,14.661066,Tnpo3,7.8530483,Ppp1r11,8.04805,Tial1,16.583307,Ppp1r32,-0.031317685,Ndufb11,2.0536919
Zmat2,15.906242,1700065J11Rik,0.22897008,Dzip1,0.326459,Ccnl1,16.877058,Bcl2l1,18.745367,Gm20390,-0.072480656,Tmem55b,14.659632,Cfap36,7.852536,Nop9,8.047792,D2Wsu81e,16.57161,Mmp12,-0.031317685,Pigp,2.053518
Fam102b,15.9057045,Lect2,0.22893423,Mecom,0.32550058,Adam17,16.842321,Mxra7,18.744024,Gm17092,-0.072481364,Sec11c,14.637841,Sars,7.8507404,Ndufaf6,8.035199,Dlgap3,16.552155,Ssr2,-0.031813543,Mis18bp1,2.0529578
Setd2,15.896613,Fam179a,0.22797851,Map4k3,0.31968912,Ttyh2,16.838009,S100a4,18.741407,Nrap,-0.07248422,Trpc4ap,14.63618,Tmem163,7.844938,Gtf3c1,8.034623,Gtse1,16.548697,Gm43740,-0.03191995,Dusp23,2.0524077
Apaf1,15.896063,Gm11767,0.22760577,Comp,0.31917867,Pcbd2,16.833,Aak1,18.73758,Asb9,-0.072484925,Ube2m,14.630882,Ubash3b,7.84241,Sf3b6,8.033606,Dgcr8,16.545,Nlrp12,-0.03191995,Phrf1,2.0511818
Elof1,15.888199,Gm14966,0.22678077,Clu,0.31718066,Snx15,16.831673,Adamts2,18.734333,Gm26596,-0.07248706,Acbd3,14.616642,Gfod2,7.82877,Cdkn3,8.031688,Endog,16.544252,Scgb3a1,-0.03191995,Cenpp,2.050638
Ube2h,15.879901,Gm17057,0.22596629,Zkscan4,0.31593934,Celf2,16.824625,Cln5,18.729807,Cdrt4,-0.07271133,Psmb5,14.593647,Adgrl1,7.8233075,4930453N24Rik,8.027036,Adsl,16.539608,Myl1,-0.03191995,Vps13c,2.04256
Rpf1,15.874692,Gm3716,0.22525206,Gm765,0.3143512,Cln5,16.819914,Ppp1r15a,18.729122,Gm20625,-0.07293561,Tbpl1,14.592981,Srebf2,7.8192296,Haus8,8.007457,Tfdp2,16.533323,6330409D20Rik,-0.03191995,Gtf2ird1,2.0422893
Fbl,15.869292,Ucn3,0.22428368,Tasp1,0.31113058,Irgq,16.808443,Stxbp3,18.725092,Trpm1,-0.07320724,Med6,14.583819,Cct7,7.8089886,Srsf6,8.004812,Ercc6l,16.528011,A930041C12Rik,-0.03191995,Ncapd3,2.0414994
Snrpa,15.86862,Ifitm5,0.2238096,Itga8,0.31100303,Dctn6,16.806831,Utrn,18.720201,Zfp566,-0.0735796,Tdrp,14.578831,Slc25a23,7.8071074,Gtf2f1,8.004343,Gpn1,16.5219,Arl9,-0.03191995,Pnisr,2.0404222
Cmtm6,15.867922,Shisa3,0.2232781,Cpxm2,0.31035766,Aldh18a1,16.80484,Glud1,18.70829,4930548H24Rik,-0.073630504,Tsc22d1,14.575917,Acat1,7.804563,Pgam5,7.970191,Eif2b1,16.515265,Gm10642,-0.03191995,Lsm2,2.0397584
Pvr,15.862394,Scnn1a,0.22129336,Gm14396,0.30640164,Ank,16.795828,Znhit6,18.70616,Gm20517,-0.073928826,Dlst,14.574724,Hmga1-rs1,7.8030076,Lars,7.967986,Mrps35,16.514162,RP23-34O23.4,-0.03191995,Dpm2,2.0390823
Llph,15.860018,Tmod4,0.22109634,Cend1,0.30431983,Acbd3,16.773518,Gm26722,18.70486,Gm16083,-0.07412605,Ino80c,14.574152,Kctd15,7.79815,Arglu1,7.9596934,Nol6,16.510454,4933405L10Rik,-0.03191995,Brk1,2.0364337
Zfp593,15.85776,Otos,0.22079016,Bzrap1,0.30308107,Cdc16,16.772947,BC005537,18.703697,Lair1,-0.07441939,Sec16a,14.5707245,Mphosph8,7.787734,Lpcat1,7.956439,Bag1,16.50592,Rhot2,-0.03191995,Polg2,2.0364337
Mrps34,15.837319,Mslnl,0.22051391,Gm26735,0.30196443,Socs1,16.758068,Fech,18.698145,Esr2,-0.074425794,Slc31a2,14.569811,Msmo1,7.782278,Acer2,7.9561744,Nsd1,16.495571,Crygc,-0.03191995,Chfr,2.0360203
Plxnb2,15.83599,Gm8817,0.21914853,Apol9b,0.30167103,Fam65a,16.754416,Sipa1l1,18.689247,Morn3,-0.074425794,Pitpnb,14.559291,Shfm1,7.7797265,Rabepk,7.952574,Ddx39b,16.494759,Pmis2,-0.03191995,Pip4k2c,2.0282586
Dcbld1,15.835443,Gm43949,0.21825965,Mab21l2,0.30085692,Pdcd6ip,16.750137,Ndufb4,18.679657,Cyp4f17,-0.075051986,Vps29,14.558991,Tfpi,7.7765207,Pnn,7.951821,2610318N02Rik,16.491446,Nceh1,-0.03191995,Mkks,2.027198
Mettl16,15.835244,Platr22,0.21727672,Atp6ap2,0.30028996,Sil1,16.726913,Gmds,18.678137,Pax1,-0.07514419,Pgm1,14.55724,Dbf4,7.7704253,Lrfn4,7.9441032,Rnaseh2a,16.486149,Gm9754,-0.03191995,Pbk,2.0261745
Ppie,15.831995,Krt84,0.21707457,Ifitm5,0.29944658,Pofut1,16.724426,Rnpep,18.674398,Strip2,-0.07514561,Tmem139,14.550382,Dusp6,7.7685466,Plet1,7.9416876,Mrps12,16.478657,9130410C08Rik,-0.03191995,Nipsnap3b,2.0251966
H2-D1,15.8193865,C330013E15Rik,0.21681125,Cped1,0.29911113,Rab9,16.722202,Arl3,18.663244,Trim40,-0.07514988,Flot1,14.548589,Lrp4,7.767768,Ccdc77,7.940236,Tmem180,16.469503,Rnf224,-0.03191995,Erlin1,2.0240924
Ldlr,15.811211,Fbxl13,0.21549088,Gm10371,0.2954789,Arhgef2,16.717825,Msantd4,18.65623,Gm960,-0.07515486,Cers5,14.546285,Med19,7.7665725,Prom1,7.9326024,Fra10ac1,16.462976,Zfp647,-0.03191995,Cbx5,2.0228498
Itpkb,15.805716,Arl5c,0.2154898,Ms4a4d,0.293951,Fam160b1,16.706856,Tmem126a,18.655699,Gm26891,-0.07562442,Wscd2,14.545235,AI854517,7.761114,Tbc1d1,7.907648,Raf1,16.461031,Npy2r,-0.03191995,Tmem126a,2.0222027
Bag2,15.793345,Sox13,0.21518229,Lyz2,0.29118943,Fam26e,16.701252,Gnb1,18.655655,Nkg7,-0.07562442,Arl13b,14.517855,Msi2,7.7302494,Srgap2,7.906431,Pus7,16.448263,Gpr143,-0.03191995,Ankrd24,2.0214872
Cdca4,15.780104,Hoxd10,0.21514967,Cpeb1,0.28703344,Tmem9b,16.701242,Traf7,18.64981,Abo,-0.07586258,Lmbr1l,14.507475,Mis18bp1,7.7273526,Ndufs3,7.9017158,Zmynd19,16.436655,Gm43118,-0.03191995,Arl8a,2.020799
Fbxw2,15.779783,Upf3b,0.21457371,RP23-49I18.5,0.28593358,Fech,16.693916,Tbc1d20,18.643408,Slc10a4,-0.07592452,Ppp6c,14.501577,Draxin,7.71577,Gins1,7.878994,Slc39a4,16.426338,4930562D21Rik,-0.03191995,Mef2c,2.0205672
Gnb1,15.778913,Pex11g,0.21428101,Kcnma1,0.28446758,Ncs1,16.690437,Pon3,18.624994,Slc23a1,-0.07609077,AA467197,14.48473,Nrarp,7.6807656,Slc35c2,7.8703823,Zfp518b,16.42444,Wdr17,-0.03191995,Mkln1,2.0204742
Sat1,15.773265,Gm42532,0.21425971,Arl8a,0.28307655,Plscr2,16.680605,Dcaf13,18.622587,Gm29707,-0.07635741,Ap3b1,14.483382,Zfp24,7.6778116,Taf5l,7.8499017,Mrps10,16.417118,Rbp2,-0.032309398,Emc3,2.0195644
Cox17,15.769798,Cyp39a1,0.21417078,Mesp2,0.28041723,Osbpl9,16.679766,Tbx15,18.621614,Tex22,-0.07635741,Atp1b3,14.482597,Tmem243,7.674562,Immt,7.8456397,Apool,16.398653,Gm15990,-0.032522213,Rnf185,2.0195086
Trim12c,15.768364,Celrr,0.21411714,Cdkn2c,0.27722165,Nr2f1,16.671885,Cant1,18.61946,Spem1,-0.07635954,Decr1,14.478392,Mcm3,7.6686835,Ap2a2,7.842929,Pak2,16.391592,Jmjd8,-0.032522213,Lysmd3,2.017499
Glyr1,15.764969,Calcb,0.21323797,Ebf1,0.27390814,Uap1l1,16.669794,Psmd7,18.615904,2010109I03Rik,-0.07636096,Lmbrd1,14.473663,Slc29a4,7.6455326,Enoph1,7.8415513,Cars,16.382168,Aknaos,-0.032522213,Chtop,2.016978
Rnf14,15.759619,Pkd2l2,0.21238251,Tekt2,0.2723058,Saraf,16.668125,Iah1,18.611963,Plppr3,-0.076364525,Rpn1,14.460901,Adgrl3,7.6405907,Plekhh1,7.833828,Ddx1,16.381308,Ccdc180,-0.032522213,2410002F23Rik,2.016827
Epb41,15.759597,Dpep2,0.2119184,Cela1,0.27230465,D10Jhu81e,16.643518,Ptk2,18.598637,Rad51b,-0.07676253,Rps6kb2,14.455552,Insm1,7.6396337,Cers5,7.8214035,Gm43733,16.377882,Gm14635,-0.032522213,Mex3d,2.0167196
Tmem94,15.7562065,Gm15829,0.21145995,Tmem240,0.26873097,Sec16a,16.634642,Fgfr1op2,18.597267,Gm16140,-0.077319294,Zc3h7a,14.452875,Cdca4,7.626102,Klhdc4,7.817362,Nup54,16.377382,Ankrd34b,-0.032522213,Topbp1,2.01661
Arl6ip6,15.754411,Bmp6,0.21044278,Itga1,0.26784304,Ddx3x,16.634232,Idnk,18.59411,Gm28959,-0.07741292,Kmt2b,14.4446125,2810004N23Rik,7.6260576,Kif20b,7.811195,Ubqln1,16.344137,Gm10842,-0.032522213,Arhgap19,2.0165665
Fxn,15.746651,Gm26753,0.21044171,Sytl1,0.2677848,Borcs6,16.623587,Chst14,18.572454,Akr1c12,-0.07756351,Hibadh,14.43705,Cmss1,7.620102,Arhgap19,7.8056374,Dcbld1,16.344105,Gm26717,-0.032522213,Smarca2,2.016306
Snw1,15.731088,Samd11,0.21042877,Mybpc2,0.26634067,Hivep2,16.60576,Bsg,18.570187,Gm26637,-0.07756351,Hectd1,14.400501,Mns1,7.6194997,Cnot8,7.8041043,Acat2,16.330976,Cidec,-0.032522213,Prkd3,2.015599
Hbp1,15.715925,Ccdc114,0.20773385,Prkg1,0.2655416,Glis3,16.59516,Mfsd10,18.564653,Rad54l,-0.078008495,Nelfcd,14.391548,Cnpy3,7.618333,Cnot1,7.7983675,Rbm47,16.330936,Dnaaf1,-0.032522213,Mtmr14,2.014714
Hacd2,15.715873,Slc7a4,0.20668137,Serf1,0.2647048,BC028528,16.594078,Cbr3,18.563879,Nceh1,-0.07829614,Hadhb,14.376051,Tet3,7.6169987,Meaf6,7.795458,9330185C12Rik,16.281855,C8b,-0.032522213,Plin3,2.0138724
Phf20l1,15.712652,Gdpd1,0.205147,Padi1,0.26374528,Osbpl5,16.593388,Ripk1,18.563704,Pmis2,-0.07829685,Orc6,14.361884,Neurog2,7.6169124,Nelfa,7.770695,Zfp598,16.276838,Atp8b4,-0.032522213,Fxr2,2.0108972
Acbd3,15.708284,Itgal,0.20494702,Nmnat3,0.26080588,Kctd5,16.578413,Tcf25,18.560263,4933405L10Rik,-0.07829827,Ifi30,14.358256,Bcat1,7.60375,Mvd,7.7705216,Ppih,16.267778,Acoxl,-0.032522213,Ip6k2,2.0101404
Nxnl2,15.703173,1700021F13Rik,0.20424654,Abca8b,0.2606252,Sppl3,16.568157,Arih1,18.551903,Klhl41,-0.078298986,Mon2,14.3569355,Atp5g2,7.601498,Ica1,7.768621,Icam1,16.26089,Gm16998,-0.032522213,1700123O20Rik,2.0097084
Rqcd1,15.700649,Spib,0.20405194,Pde8b,0.25962278,Stat6,16.558807,Babam1,18.539413,Rnf224,-0.078299694,Fam32a,14.349877,Nampt,7.581358,Cops8,7.767324,Ecsit,16.24653,Prdm8,-0.032522213,Ncoa1,2.008437
Galnt7,15.700296,H2-M2,0.20363392,Mylk,0.25953105,Ids,16.552137,9030624J02Rik,18.532427,Gm43740,-0.07830753,Hook3,14.335477,Mllt10,7.5810523,Kctd20,7.7672973,Qtrt1,16.240515,1700057G04Rik,-0.032522213,Galc,2.0065327
Bre,15.68996,Gm5617,0.20290622,Hoxc10,0.25819144,Borcs8,16.546938,Sap30bp,18.53158,Raver1,-0.07848873,Dag1,14.328059,Stox2,7.5804834,Mpst,7.760489,Fip1l1,16.211262,Arl11,-0.032522213,Ppp2ca,2.0058234
Rfc4,15.6804495,Gm16083,0.20247445,Aup1,0.25812355,Gm10076,16.546238,Grem2,18.53015,Ramp2,-0.07869129,Pdcd6,14.31519,Smarcad1,7.567882,N4bp2,7.7582664,Vprbp,16.208197,Chrm1,-0.032522213,Tmem161a,2.00511
Ykt6,15.679595,Pm20d1,0.20066732,Wfdc12,0.25807157,Esyt1,16.538246,Pum2,18.527641,Eif2c5,-0.07902307,Flt1,14.312274,Nkx6-2,7.5674744,Thoc6,7.753803,Hirip3,16.207588,2310026L22Rik,-0.032522213,Paxbp1,2.0031748
Scarb1,15.669675,Gm5218,0.19961458,Airn,0.25661865,Tbl2,16.52463,Pex13,18.523449,Cdkl4,-0.079025924,Puf60,14.297154,Sumf2,7.557654,Dhrs11,7.7529945,Ifrd1,16.193907,Prss30,-0.032522213,Slc35e3,2.0025795
2700094K13Rik,15.667369,Ggn,0.1992483,Tram1l1,0.2534861,Il10rb,16.514622,Zfand3,18.515131,Amdhd1,-0.07903019,Cndp2,14.295156,Sf3a2,7.555072,Tulp3,7.7311,Spr,16.191998,Nphs1,-0.032522213,Atf5,2.0017607
Rps25,15.651274,Krt12,0.19841576,Stx5a,0.252722,2510009E07Rik,16.498312,Acbd3,18.512283,Sult1a1,-0.079423204,Cebpb,14.290126,Pbx3,7.5513067,Dalrd3,7.72619,Ifitm1,16.190037,Cpvl,-0.032522213,Rbbp6,2.0013885
Smek1,15.648806,Gm26660,0.19775948,Wbscr17,0.2520016,Tshz3,16.49238,Fbxo4,18.512283,Cd27,-0.07950259,Tmem33,14.251413,Suclg1,7.5510216,Smim20,7.7255936,1700007L15Rik,16.183762,Ctag2,-0.032522213,Magi3,2.0000074
Gpr137b,15.645881,Ly6i,0.19648412,Zfp108,0.25015074,Rspry1,16.483335,Eno1,18.509562,Zim3,-0.07950259,Lamp2,14.25126,Prpf40b,7.550352,Eif4a3,7.7253876,Ccnk,16.183582,Apoc4,-0.032522213,Ttc17,1.9997696
Top1,15.633736,B930082K07Rik,0.19600976,Enpp5,0.24647109,Ifi27l2a,16.470213,Sdhc,18.507074,Agxt,-0.07950259,Setd7,14.249747,Psmg1,7.5476017,Smim11,7.7246914,Sf3a1,16.174932,Atpaf1,-0.032522213,1110065P20Rik,1.9993374
Bin3,15.62939,Sapcd1,0.19597958,Tshr,0.24540958,Cdkn2c,16.46772,Adamtsl5,18.506903,Gm20750,-0.07950259,Ak6,14.2385235,Ccpg1os,7.539644,Blm,7.723792,Timm50,16.165733,Slitrk2,-0.032522213,Pwwp2a,1.998988
Spin1,15.619813,Inha,0.19502467,Grpr,0.24437562,Sertad1,16.453365,Tpgs1,18.502285,RP23-9K14.6,-0.07950259,Tmem110,14.235022,Tk1,7.538563,Upf1,7.7235384,Mrps18c,16.161577,Nepn,-0.032522213,Slc39a3,1.9959776
Rest,15.617908,Mkln1os,0.19399753,Vnn3,0.24393022,Mtss1l,16.447836,Nat9,18.494028,Slc2a7,-0.07950259,Brwd3,14.217404,Dlg4,7.527641,Mrpl1,7.7215004,Cep57l1,16.151564,Wnt8a,-0.032522213,Myl9,1.9950721
Smtnl2,15.615442,Smyd1,0.1929774,Hp1bp3,0.24312863,Pappa,16.446568,Prdx1,18.491558,Fam72a,-0.07969127,Ggnbp2,14.213582,Ift52,7.524275,Bora,7.719144,Tnpo3,16.147242,Adam28,-0.032522213,Pip4k2a,1.9938501
Lin7c,15.582399,Ly6d,0.191919,Tnfrsf25,0.24262244,Rdh14,16.437057,Rasa3,18.49073,Adam28,-0.08023701,Taok1,14.208263,Prmt5,7.5124316,Ecd,7.712852,Srsf4,16.14353,Lyz2,-0.032627556,Gpn3,1.9900727
Cyhr1,15.580093,Magi2,0.1903768,Tmlhe,0.24180721,Ogdh,16.421963,Zdhhc16,18.484589,Ankrd34b,-0.08023843,Ccdc25,14.2070465,Mdm1,7.5116954,Pdzd4,7.712839,Mllt6,16.143349,Pcdh10,-0.032711618,Trim44,1.9898432
Msln,15.576327,Cc2d2a,0.18802391,Hexdc,0.23976031,Tmem165,16.418234,Gatad2b,18.484161,Jmjd8,-0.08024484,Bmpr2,14.205585,Gtf3a,7.508672,Gorasp2,7.6979833,Prpf4,16.141161,Cyb5rl,-0.0327861,Msrb1,1.9874511
Mvd,15.574167,Gm17203,0.18734202,Cyp4f17,0.23950154,4931406C07Rik,16.41143,Map2k5,18.47926,Colgalt2,-0.08072685,Tpp2,14.204595,Nde1,7.508263,Cldn4,7.691171,Abhd10,16.12942,2810459M11Rik,-0.033124477,Clptm1l,1.9859354
Mrpl18,15.570337,Ntn5,0.1872431,Relb,0.23850536,Fam212a,16.406725,Vamp7,18.47849,Rxfp2,-0.08096145,Lims1,14.200964,Mettl1,7.501821,1700007K13Rik,7.6663094,Mum1,16.125055,Gfap,-0.033124477,Sh3tc2,1.9854351
Fbxo6,15.558034,Gm16008,0.18675879,Epb41l3,0.2378793,Micall2,16.39283,Bcl7c,18.470972,Gm26583,-0.08116757,Cisd1,14.182179,Cbx2,7.4974904,C330006A16Rik,7.6644244,Dhrs7,16.116932,Cuzd1,-0.033124477,Ncapg2,1.9836468
Ppfia3,15.557994,1810062G17Rik,0.18546185,Pdp1,0.23770405,Samd4b,16.387114,Uso1,18.46491,Gm26852,-0.08120886,Yipf3,14.182093,Aff3,7.494899,Rpap3,7.6540623,Smim13,16.103474,Slc5a3,-0.033124477,Mllt10,1.9835019
Rcl1,15.553723,Abca8b,0.18512927,Mdfic,0.23223373,Syap1,16.382498,Abhd2,18.463995,Gm11985,-0.08144168,Snx1,14.175401,Wnk2,7.4939327,Wdr3,7.648325,Scrib,16.094002,4930562A09Rik,-0.033124477,Prpf4,1.9827783
Syne2,15.529761,Gm7808,0.1848549,Gm10848,0.22975507,Fam13c,16.377207,Galnt1,18.462431,Gm9573,-0.08144168,Tpd52,14.169817,Rnf130,7.4929214,Nod1,7.6468897,Api5,16.088268,Iqsec3,-0.033124477,Tgs1,1.9790401
Bcl7a,15.528525,Kirrel,0.18136139,Map3k7cl,0.2281104,Abhd12,16.37381,Sertad4,18.460516,Gm10338,-0.08144168,Casc3,14.167626,Rnf126,7.490454,Sdr39u1,7.645393,Eftud2,16.086824,Nyx,-0.033124477,Man2a1,1.9785212
Usp14,15.524223,Il1rapl1,0.18014316,Hoxc11,0.22774085,Lmcd1,16.366043,Relb,18.443241,Ptprtos,-0.08144168,Rras,14.164255,RP24-402O2.2,7.4883027,Abcf2,7.6266904,Prpf6,16.084326,RP23-223O9.2,-0.033124477,Gk5,1.9775825
Laptm4a,15.522678,Aph1b,0.17934835,Gm43050,0.22610414,Mllt3,16.36532,Trp53,18.43757,Krt78,-0.08144168,Palm,14.160614,Kdm1a,7.486145,Nek2,7.6229296,Necap1,16.08012,Kcnh6,-0.033124477,Naa16,1.9760567
Fam207a,15.50945,Pip5kl1,0.17884111,Lingo4,0.2246424,Gpr108,16.358286,G6pc3,18.418873,2010106C02Rik,-0.08144168,Tspan33,14.151708,Eya2,7.4805026,Ndufaf3,7.6004667,Atm,16.066309,Nrn1l,-0.033124477,Slc7a5,1.9746796
Mmp23,15.509178,Ccdc73,0.1784045,Pla2g4a,0.22398396,Cyp7b1,16.33358,Ifi30,18.413145,Gm37027,-0.08144168,Tmx1,14.149119,Mrpl23,7.4793644,1700021F05Rik,7.5871468,Slc25a33,16.061674,Ccl11,-0.033124477,Kdelc2,1.9729677
Srp9,15.496883,Zfp827,0.17506947,Agt,0.22181407,Gsdmd,16.309996,Tonsl,18.41253,Gm28818,-0.08144168,Fam212a,14.1471405,Rab11fip4,7.475289,Spr,7.58609,Msc,16.054218,1700104B16Rik,-0.033124477,Sec23a,1.9719132
Orc6,15.491235,Emx2os,0.1744714,Naprt,0.22172715,Arpc3,16.28103,Tmf1,18.398361,I830077J02Rik,-0.08144168,Sh3bp5l,14.142482,Tbcb,7.4747047,Tjp2,7.5827303,Lefty2,16.029116,Gm37229,-0.033124477,Ndufa1,1.9678133
Sorl1,15.489908,Vamp1,0.17387226,Kcnk15,0.2207537,Zzef1,16.274988,Cox19,18.394367,Teddm2,-0.08144168,Kdm6a,14.1338625,Zfp521,7.472677,Rars,7.5747423,Ctdspl2,16.02516,Gm13411,-0.033124477,Zbtb7c,1.9673749
Skp1a,15.474637,Gm15998,0.17357795,Csdc2,0.22029665,Spag9,16.263613,Psma6,18.390015,2900009J06Rik,-0.081521064,Pop5,14.120382,Stxbp4,7.4717827,Irak1bp1,7.5621443,Rab4a,16.012537,Klhl31,-0.033124477,Qars,1.9657167
Ergic1,15.47388,Plscr4,0.17293298,Arhgap20,0.21965924,Srr,16.2541,Mrpl3,18.386744,S1pr4,-0.08167877,Tmem183a,14.119585,Fam162a,7.471642,Tmem237,7.5580025,Taf15,16.010826,Prss33,-0.033124477,Cntrl,1.9655596
Esf1,15.473258,Lncpint,0.17263247,Dse,0.21952914,Wdfy1,16.246862,Pgp,18.37047,AU040972,-0.081679486,Eif4e2,14.119492,Lrrn1,7.468544,Eras,7.5347733,Erdr1,16.010347,Olfr985,-0.033124477,Zswim8,1.9645464
